county,period,MOH 731_HIV_TB_OnART_15-19_(F)_HV03-24,MOH 731_HIV_TB_OnART_15-19_(M)_HV03-23,MOH 731_HIV_TB_OnART_20-24_(F)_HV03-26,MOH 731_HIV_TB_OnART_20-24_(M)_HV03-25,MOH 731_HIV_TB_OnART_25+_(F)_HV03-28,MOH 731_HIV_TB_OnART_25+_(M)_HV03-27,adults_on_art,art_total_males,art_total_females,MOH 731_HTS_Tests _(F) (Including PMTCT)_ HV01-02,MOH 731_HTS_Tests _(M)_ HV01-01,hts_tested,hts_tested_males,hts_tested_females,MOH 731_HTS_Positive_2-9 _(M)_ HV01-06,MOH 731_HTS_Positive_2-9 _(F) (Including PMTCT)_ HV01-07,MOH 731_HTS_Positive_10-14 _(F) (Including PMTCT)_HV01-09,MOH 731_HTS_Positive_10-14 _(M)_HV01-08,MOH 731_HTS_Positive_15-19 _(F) (Including PMTCT)_HV01-11,MOH 731_HTS_Positive_15-19 _(M)_HV01-10,MOH 731_HTS_Positive_20-24 _(M)_HV01-12,MOH 731_HTS_Positive_20-24 _(F) (Including PMTCT)_HV01-13,MOH 731_HTS_Positive_25+ _(M)_HV01-14,MOH 731_HTS_Positive_25+ _(F) (Including PMTCT)_HV01-15,hts_positive,hts_positive_males,hts_positive_females,vlt_valid_under15,vls_suppressed_under15,vlt_valid_male_15plus,vls_suppressed_male_15plus,vlt_valid_female_15plus,vls_suppressed_female_15plus,vls_rate_male15plus,vls_rate_female15plus,vls_rate_under15,vls_rate_adult,Actively on Treatment by the Beginning of 2025 Children,iit_children,Actively on Treatment by the Beginning of 2025 female adult,iit_female,Actively on Treatment by the Beginning of 2025 Male,iit_male,adults_on_treatment,iit_count,iit_rate_pct,iit_rate_children_pct,iit_rate_male_pct,iit_rate_female_pct,hts_positivity_rate,iit_rate_yoy_change,vls_rate_adult_yoy_change,iit_rate,care_gap_index,art_coverage,vls_rate,cluster,tier
Kakamega,2025,1024,773,1450,583,31923,13052,48805,14408,34397,195930,28469,224399,28469,195930,39.0,43.0,6.0,8.0,163.0,14.0,42,370,732,1321,2738,835,1903,1047,927,7378,7050.0,18179,17501,0.9555,0.9627,0.8854,0.9606,67.75,4.75,932.5,85.25,425.75,36.25,1358.25,121.5,0.0895,0.07,0.085,0.091,0.012201480398754,0,0,0.0895,5.400029607975079,0.5,0.9606,1,High
Kericho,2025,257,256,599,252,10161,4871,16396,5379,11017,77576,22301,99877,22301,77576,22.0,40.0,8.0,24.0,56.0,6.0,26,183,494,684,1543,572,971,249,213,3031,2881.0,6387,6096,0.9505,0.9544,0.8554,0.9532,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0154490022727955,0,0,0.153,8.30098004545591,0.5,0.9532,0,Critical
Kiambu,2025,496,481,1252,743,28908,13169,45049,14393,30656,190963,64816,255779,64816,190963,37.0,45.0,10.0,10.0,43.0,12.0,108,321,1030,1617,3233,1197,2036,425,372,9015,8651.0,19853,19112,0.9596,0.9627,0.8753,0.9617,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.012639817967855,0,0,0.1007,5.812796359357102,0.5,0.9617,1,High
Kilifi,2025,547,474,891,417,19286,6830,28445,7721,20724,155419,55389,210808,55389,155419,23.0,23.0,12.0,13.0,56.0,11.0,55,248,604,1178,2223,706,1517,412,310,3880,3423.0,10730,9831,0.8822,0.9162,0.7524,0.9072,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.0105451406018746,0,0,0.0926,7.626902812037494,0.5,0.9072,2,Moderate
Kirinyaga,2025,144,146,282,161,8226,3747,12706,4054,8652,65420,17627,83047,17627,65420,8.0,5.0,2.0,8.0,16.0,5.0,15,47,231,334,663,259,404,113,96,2842,2773.0,6185,6051,0.9757,0.9783,0.8496,0.9775,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.0079834310691536,0,0,0.1007,5.087668621383071,0.5,0.9775,1,High
Kisii,2025,795,540,1690,495,25600,11177,40297,12212,28085,173492,50065,223557,50065,173492,29.0,35.0,26.0,20.0,175.0,19.0,68,420,876,1353,3021,1012,2009,938,857,10111,9855.0,23896,23220,0.9747,0.9717,0.9136,0.9726,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.0135133321703189,0,0,0.0913,5.018266643406379,0.5,0.9726,1,High
Kisumu,2025,2063,1695,2661,1456,66571,34969,109415,38120,71295,203423,92186,295609,92186,203423,47.0,42.0,31.0,21.0,143.0,34.0,92,483,1291,2032,4216,1485,2731,1342,1210,18522,17661.0,36232,34898,0.9535,0.9632,0.9016,0.9599,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.0142620826835448,0,0,0.0913,5.541241653670897,0.5,0.9599,1,High
Kitui,2025,490,471,739,379,16682,6075,24836,6925,17911,115453,27088,142541,27088,115453,26.0,17.0,9.0,9.0,52.0,6.0,35,154,389,712,1409,465,944,311,251,3981,3753.0,10781,10324,0.9427,0.9576,0.8071,0.9536,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0098848752288815,0,0,0.0888,5.605697504577631,0.5,0.9536,1,High
Kwale,2025,277,232,453,184,9790,3453,14389,3869,10520,78482,24932,103414,24932,78482,17.0,12.0,8.0,8.0,36.0,5.0,16,113,273,483,971,319,652,309,261,1970,1825.0,5944,5610,0.9264,0.9438,0.8447,0.9395,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.0093894443692343,0,0,0.0926,6.311788887384687,0.5,0.9395,1,High
Laikipia,2025,150,125,271,160,6274,2803,9783,3088,6695,50118,12370,62488,12370,50118,2.0,47.0,1.0,3.0,24.0,3.0,11,67,197,264,619,216,403,121,111,1635,1559.0,3719,3606,0.9535,0.9696,0.9174,0.9647,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0099059019331711,0,0,0.153,7.730118038663424,0.5,0.9647,0,Critical
